yyyydddhhmm_ID,dunno,airTemperature  ,dewPoint               ,windDirection          ,windSpeed              ,maximumWindGust       ,cloudCover             ,solarRadiation         ,barometricPressure     ,waterTemperature       ,significantWaveHeight ,wavePeriod   
200500105004PTIM4   ,9,26.1,999.9,282,20.0,26.0,999,9999.9,30.2,44.1,99.9,99.9
200500106004PTIM4   ,9,21.9,999.9,305,22.5,28.8,999,9999.9,30.2,44.1,99.9,99.9
200500106064PTIM4   ,9,21.9,999.9,306,22.5,27.8,999,9999.9,30.2,44.1,99.9,99.9
200500106184PTIM4   ,9,21.9,999.9,308,24.3,28.8,999,9999.9,30.2,44.1,99.9,99.9
200500106364PTIM4   ,9,21.9,999.9,303,22.5,29.5,999,9999.9,30.2,44.1,99.9,99.9
200500106484PTIM4   ,9,21.9,999.9,302,20.8,27.0,999,9999.9,30.2,44.1,99.9,99.9
200500107004PTIM4   ,9,21.0,999.9,311,20.8,27.0,999,9999.9,30.2,44.1,99.9,99.9
200500107184PTIM4   ,9,19.9,999.9,297,22.5,25.3,999,9999.9,30.3,44.1,99.9,99.9
200500107484PTIM4   ,9,21.0,999.9,317,21.8,27.0,999,9999.9,30.3,44.1,99.9,99.9
200500108004PTIM4   ,9,21.0,999.9,307,18.3,25.3,999,9999.9,30.3,44.1,99.9,99.9
200500108184PTIM4   ,9,19.9,999.9,330,17.3,24.3,999,9999.9,30.3,44.1,99.9,99.9
200500108304PTIM4   ,9,19.0,999.9,338,18.3,24.3,999,9999.9,30.3,44.1,99.9,99.9
200500108484PTIM4   ,9,19.0,999.9,352,16.5,20.0,999,9999.9,30.3,44.1,99.9,99.9
200500109004PTIM4   ,9,18.0,999.9,348,14.0,19.0,999,9999.9,30.4,44.1,99.9,99.9
200500109184PTIM4   ,9,17.1,999.9,357,11.3,15.6,999,9999.9,30.4,44.1,99.9,99.9
200500109484PTIM4   ,9,17.1,999.9,333,9.5,14.8,999,9999.9,30.4,44.1,99.9,99.9
200500110004PTIM4   ,9,17.1,999.9,337,9.5,12.2,999,9999.9,30.4,44.1,99.9,99.9
200500110184PTIM4   ,9,17.1,999.9,342,9.5,13.0,999,9999.9,30.4,44.1,99.9,99.9
